"Nome.Pa","Cultura","Freq"
"PA 17 DE ABRIL","",1
"PA BOM JARDIM","",0
"PA COLONIA S. JOSE DO XINGU","",0
"PA CONCEIcaO","",0
"PA CUPu","",0
"PA LINDOESTE","",0
"PA MATA VERDE","",0
"PA PE JOSIMO TAVARES","",0
"PA RIO CINZA","",0
"PA TANCREDO NEVES","",0
"PA VOLTA DO TAPIRAPe","",0
"PA 17 DE ABRIL","Abacaxi",1
"PA BOM JARDIM","Abacaxi",1
"PA COLONIA S. JOSE DO XINGU","Abacaxi",0
"PA CONCEIcaO","Abacaxi",1
"PA CUPu","Abacaxi",0
"PA LINDOESTE","Abacaxi",0
"PA MATA VERDE","Abacaxi",0
"PA PE JOSIMO TAVARES","Abacaxi",35
"PA RIO CINZA","Abacaxi",0
"PA TANCREDO NEVES","Abacaxi",0
"PA VOLTA DO TAPIRAPe","Abacaxi",1
"PA 17 DE ABRIL","Abobora Moranga",0
"PA BOM JARDIM","Abobora Moranga",1
"PA COLONIA S. JOSE DO XINGU","Abobora Moranga",0
"PA CONCEIcaO","Abobora Moranga",1
"PA CUPu","Abobora Moranga",0
"PA LINDOESTE","Abobora Moranga",0
"PA MATA VERDE","Abobora Moranga",0
"PA PE JOSIMO TAVARES","Abobora Moranga",1
"PA RIO CINZA","Abobora Moranga",0
"PA TANCREDO NEVES","Abobora Moranga",0
"PA VOLTA DO TAPIRAPe","Abobora Moranga",0
"PA 17 DE ABRIL","Acerola",2
"PA BOM JARDIM","Acerola",0
"PA COLONIA S. JOSE DO XINGU","Acerola",0
"PA CONCEIcaO","Acerola",0
"PA CUPu","Acerola",0
"PA LINDOESTE","Acerola",0
"PA MATA VERDE","Acerola",0
"PA PE JOSIMO TAVARES","Acerola",0
"PA RIO CINZA","Acerola",0
"PA TANCREDO NEVES","Acerola",0
"PA VOLTA DO TAPIRAPe","Acerola",0
"PA 17 DE ABRIL","Alface",0
"PA BOM JARDIM","Alface",0
"PA COLONIA S. JOSE DO XINGU","Alface",1
