"Nome.Pa","Cultura","Freq"
"PA 17 DE ABRIL","",1
"PA BOM JARDIM","",0
"PA COLONIA S. JOSE DO XINGU","",0
"PA CONCEIÇÃO","",0
"PA CUPÚ","",0
"PA LINDOESTE","",0
"PA MATA VERDE","",0
"PA PE JOSIMO TAVARES","",0
"PA RIO CINZA","",0
"PA TANCREDO NEVES","",0
"PA VOLTA DO TAPIRAPÉ","",0
"PA 17 DE ABRIL","Abacaxi",1
"PA BOM JARDIM","Abacaxi",1
"PA COLONIA S. JOSE DO XINGU","Abacaxi",0
"PA CONCEIÇÃO","Abacaxi",1
"PA CUPÚ","Abacaxi",0
"PA LINDOESTE","Abacaxi",0
"PA MATA VERDE","Abacaxi",0
"PA PE JOSIMO TAVARES","Abacaxi",35
"PA RIO CINZA","Abacaxi",0
"PA TANCREDO NEVES","Abacaxi",0
"PA VOLTA DO TAPIRAPÉ","Abacaxi",1
"PA 17 DE ABRIL","Abóbora Moranga",0
"PA BOM JARDIM","Abóbora Moranga",1
"PA COLONIA S. JOSE DO XINGU","Abóbora Moranga",0
"PA CONCEIÇÃO","Abóbora Moranga",1
"PA CUPÚ","Abóbora Moranga",0
"PA LINDOESTE","Abóbora Moranga",0
"PA MATA VERDE","Abóbora Moranga",0
"PA PE JOSIMO TAVARES","Abóbora Moranga",1
"PA RIO CINZA","Abóbora Moranga",0
"PA TANCREDO NEVES","Abóbora Moranga",0
"PA VOLTA DO TAPIRAPÉ","Abóbora Moranga",0
"PA 17 DE ABRIL","Acerola",2
"PA BOM JARDIM","Acerola",0
"PA COLONIA S. JOSE DO XINGU","Acerola",0
"PA CONCEIÇÃO","Acerola",0
"PA CUPÚ","Acerola",0
"PA LINDOESTE","Acerola",0
"PA MATA VERDE","Acerola",0
"PA PE JOSIMO TAVARES","Acerola",0
"PA RIO CINZA","Acerola",0
"PA TANCREDO NEVES","Acerola",0
"PA VOLTA DO TAPIRAPÉ","Acerola",0
"PA 17 DE ABRIL","Alface",0
"PA BOM JARDIM","Alface",0
